item_id,original_group
item_0145,intro-augmented-virtual-mixed-extended-reality-technologies-applications-issues
item_0146,operating-systems-overview-administration-security
item_0147,c-sharp-for-dot-net
item_0148,introduction-software-programming-and-databases
item_0149,uva-darden-agile-team-management
item_0150,fundamentals-of-java-programming
item_0151,golang-getting-started
item_0152,create-machine-learning-models-in-microsoft-azure
item_0153,cybersecurity-compliance-framework-standards-regulations
item_0154,meta-programming-fundamentals-kotlin
item_0155,network-security-database-vulnerabilities
item_0156,introduction-to-generative-ai-studio
item_0157,getting-started-with-front-end-and-web-development
item_0158,blockchain-crypto-decentralized-finance
item_0159,vlsi-cad-layout
item_0160,programming-introduction
item_0161,deploying-workloads-google-kubernetes-engine-gke
item_0162,tcpip
item_0163,how-to-get-into-robotics
item_0164,api-design-apigee-gcp
item_0165,cs-fundamentals-2
item_0166,introtoux-principles-and-processes
item_0167,blockchain-security
item_0168,client-needs-and-software-requirements
item_0169,introduction-to-ios-mobile-application-development
item_0170,deploying-google-workspace
item_0171,data-structures--backend-with-java
item_0172,continuous-integration-and-continuous-delivery-ci-cd
item_0173,algorithms-greedy
item_0174,web-mobile-testing
item_0175,information-technology-it-fundamentals-for-everyone
item_0176,intro-blockchain-financial-services
item_0177,introcss
item_0178,c-plus-plus-a
item_0179,codio-cpp-basics
item_0180,intro-gen-ai
item_0181,agile-planning-for-software-products
item_0182,data-structures-optimizing-performance
item_0183,user-experience-interaction-design-augmented-virtual-mixed-extended-reality
item_0184,arduino-platform
item_0185,game-design-and-development-1
item_0186,visual-perception-self-driving-cars
item_0187,advanced-matlab-programming
item_0188,c-structured-programming
item_0189,advanced-data-structures-rsa-and-quantum-algorithms
item_0190,rpa-basics-and-introduction-to-uipath
item_0191,database-management
item_0192,basicmathematics
item_0193,real-world-engineering-management-1
item_0194,intro-cyber-attacks
item_0195,scaling-agile-and-the-team-of-teams
item_0196,combining-scrum-with-other-methodologies
item_0197,api-security-apigee-gcp
item_0198,reviews-and-metrics-for-software-improvements
item_0199,real-world-product-management-skills
item_0200,introduction-to-autosar
item_0201,software-architecture
item_0202,devops-aws-code-build-test
item_0203,docker-for-the-absolute-beginner
item_0204,java-programming-arrays-lists-data
item_0205,introduction-to-applied-cryptography
